Lineup,Day,Date,Location
VIRTUAL RIOT,Saturday,"May 18, 2019",Las Vegas
W&W,Saturday,"May 18, 2019",Las Vegas
WALKER & ROYCE,Saturday,"May 18, 2019",Las Vegas
WHIPPED CREAM,Saturday,"May 18, 2019",Las Vegas
YOLANDA BE COOL,Saturday,"May 18, 2019",Las Vegas
YOUSSEF,Saturday,"May 18, 2019",Las Vegas
YULTRON,Saturday,"May 18, 2019",Las Vegas
ZAXX,Saturday,"May 18, 2019",Las Vegas
ZHU,Saturday,"May 18, 2019",Las Vegas
ADAM BEYER PRESENTS DRUMCODE,Sunday,"May 19, 2019",Las Vegas
ADARO,Sunday,"May 19, 2019",Las Vegas
ADIN,Sunday,"May 19, 2019",Las Vegas
ADRENALIZE,Sunday,"May 19, 2019",Las Vegas
ADVENTURE CLUB,Sunday,"May 19, 2019",Las Vegas
AMELIE LENS,Sunday,"May 19, 2019",Las Vegas
ANDREW BAYER,Sunday,"May 19, 2019",Las Vegas
ANDREW RAYEL,Sunday,"May 19, 2019",Las Vegas
ANNA,Sunday,"May 19, 2019",Las Vegas
ARMIN VAN BUREN,Sunday,"May 19, 2019",Las Vegas
ATMOZFEARS,Sunday,"May 19, 2019",Las Vegas
BADKLAAT,Sunday,"May 19, 2019",Las Vegas
BENDA,Sunday,"May 19, 2019",Las Vegas
BONNIE X CLYDE,Sunday,"May 19, 2019",Las Vegas
BOOMBOX CARTEL,Sunday,"May 19, 2019",Las Vegas
BRENNAN HEART,Sunday,"May 19, 2019",Las Vegas
BRUNO MARTINI,Sunday,"May 19, 2019",Las Vegas
CAMELPHAT,Sunday,"May 19, 2019",Las Vegas
CASH CASH,Sunday,"May 19, 2019",Las Vegas
CHRIS LAKE,Sunday,"May 19, 2019",Las Vegas
COSMIC GATE,Sunday,"May 19, 2019",Las Vegas
CRIME FAMILY,Sunday,"May 19, 2019",Las Vegas
CUT SNAKE,Sunday,"May 19, 2019",Las Vegas
DAVID GRAVELL,Sunday,"May 19, 2019",Las Vegas
DECLAN JAMES,Sunday,"May 19, 2019",Las Vegas
DELTA HEAVY B2B DIRTYPHONICS,Sunday,"May 19, 2019",Las Vegas
DIESELBOY,Sunday,"May 19, 2019",Las Vegas
DILLON FRANCIS,Sunday,"May 19, 2019",Las Vegas
DIMENSION B2B CULTURE SHOCK,Sunday,"May 19, 2019",Las Vegas
DIPLO,Sunday,"May 19, 2019",Las Vegas
DOM DOLLA,Sunday,"May 19, 2019",Las Vegas
EKALI,Sunday,"May 19, 2019",Las Vegas
ENRICO SANGUILIANO,Sunday,"May 19, 2019",Las Vegas
GENTLEMENS CLUB,Sunday,"May 19, 2019",Las Vegas
GEO,Sunday,"May 19, 2019",Las Vegas
GHASTLY,Sunday,"May 19, 2019",Las Vegas
ILLENIUM (DJ SET),Sunday,"May 19, 2019",Las Vegas
JAMIE JONES,Sunday,"May 19, 2019",Las Vegas
KAI WACHI,Sunday,"May 19, 2019",Las Vegas
LAYTON GIORDANI B2B BART SKILS,Sunday,"May 19, 2019",Las Vegas
LNY TNZ,Sunday,"May 19, 2019",Las Vegas
MARK SIXMA,Sunday,"May 19, 2019",Las Vegas
MARLO,Sunday,"May 19, 2019",Las Vegas
OOLACILE,Sunday,"May 19, 2019",Las Vegas
PHISO B2B DEFINITIVE,Sunday,"May 19, 2019",Las Vegas
RADICAL REDEMPTION,Sunday,"May 19, 2019",Las Vegas
RAWTEK,Sunday,"May 19, 2019",Las Vegas
RIOT TEN,Sunday,"May 19, 2019",Las Vegas
SVDDEN DEATH,Sunday,"May 19, 2019",Las Vegas
TCHAMI X MALAA [NO REDEMPTION],Sunday,"May 19, 2019",Las Vegas
TIMMY TRUMPET,Sunday,"May 19, 2019",Las Vegas
TISOKI,Sunday,"May 19, 2019",Las Vegas
TRITONAL,Sunday,"May 19, 2019",Las Vegas
TSURUDA B2B GREAT DANE,Sunday,"May 19, 2019",Las Vegas
TUNEBOY,Sunday,"May 19, 2019",Las Vegas
VNSSA,Sunday,"May 19, 2019",Las Vegas
WARFACE,Sunday,"May 19, 2019",Las Vegas
WAVEDASH,Sunday,"May 19, 2019",Las Vegas
WHAT SO NOT,Sunday,"May 19, 2019",Las Vegas
ZEDS DEAD,Sunday,"May 19, 2019",Las Vegas
